,жилая площадь,ремонт,этажей в доме,отделка,количество комнат,площадь кухни,мебель,санузел,высота потолков,парковка,тип дома,"корпус, строение",двор,общая площадь,официальный застройщик,запланирован снос,год постройки,тип участия,грузовой лифт,способ продажи,этаж,срок сдачи,тёплый пол,окна,вид сделки,пассажирский лифт,балкон или лоджия,техника,в доме,название новостройки,тип комнат,position,price
109, 21.5 м², косметический, 17,, 1, 18 м²,, совмещенный,,, кирпичный,,, 47.2 м²,,, 2006,,, свободная, 14 из 17,,, на улицу, возможна ипотека,, балкон,,,,,31,6600000
110, 13 м², евро, 9,, студия,, кухня, совмещенный, 2.6 м,, кирпичный,," детская площадка, спортивная площадка", 17.9 м²,,, 1983,,, свободная, 6 из 9,,, во двор,, 1,,, мусоропровод,,,31,2650000
111, 19 м², косметический, 5,, 1, 10 м², кухня, совмещенный, 2.6 м,, кирпичный,," детская площадка, спортивная площадка", 37 м²,,, 1967,, нет, свободная, 2 из 5,,, во двор, возможна ипотека, нет,,,,,,1000000,3700000
112, 23 м², косметический, 9,, 1, 6.1 м²,, совмещенный,, открытая во дворе, панельный,," детская площадка, спортивная площадка", 40.1 м²,,, 2001,,, свободная, 7 из 9,,, во двор, возможна ипотека, 1, лоджия,,,,,1000000,5100000
113, 22.9 м², косметический, 18,, 1, 12.8 м²," кухня, спальные места", совмещенный, 2.7 м, открытая во дворе, монолитно-кирпичный,, детская площадка, 43.4 м²,,, 1998,, 1, свободная, 11 из 18,,, на улицу, возможна ипотека, 1, балкон," кондиционер, стиральная машина"," консьерж, мусоропровод",,,31,6900000
114, 16.9 м², дизайнерский, 10,, 1, 8.9 м²," кухня, хранение одежды", совмещенный,, наземная многоуровневая, кирпичный,," закрытая территория, детская площадка, спортивная площадка", 36.9 м²,,, 2017,, 1, альтернативная, 5 из 10,,," во двор, на солнечную сторону", возможна ипотека, нет, лоджия,,,,,31,8000000
115, 29 м², косметический, 5,, 2, 6 м²," кухня, хранение одежды, спальные места", совмещенный,,, панельный,," детская площадка, спортивная площадка", 47 м²,,, 1973,,, свободная, 3 из 5,,, во двор, возможна ипотека,, балкон," холодильник, стиральная машина", газ,, смежные,31,5390000
116, 18 м², евро, 5,, 1, 6 м²," кухня, хранение одежды, спальные места", совмещенный, 2.6 м, открытая во дворе, панельный,," детская площадка, спортивная площадка", 32 м²,,, 1965,, нет, свободная, 1 из 5,,, во двор,, нет,," кондиционер, стиральная машина, водонагреватель", газ,,,21,4050000
117, 18 м², требует ремонта, 5,, 1, 6 м²,, совмещенный,, открытая во дворе, кирпичный,, детская площадка, 30 м²,,, 1982,,, свободная, 3 из 5,,, во двор, возможна ипотека,, балкон,," мусоропровод, газ",,,1000000,4050000
118, 32.8 м², косметический, 5,, 2, 6 м²,, совмещенный,,, кирпичный,,, 44.1 м²,,,,,, свободная, 1 из 5,,,,,,,,,, смежные,1000000,4080000
119, 29.1 м², евро, 18,, 2, 9 м²," кухня, хранение одежды", раздельный, 2.8 м, открытая во дворе, кирпичный,," детская площадка, спортивная площадка", 56.7 м²,,, 2011,, 1, альтернативная, 5 из 18,, есть, во двор, возможна ипотека, 1, балкон, водонагреватель,,, изолированные,1000000,7300000
120, 18.5 м², требует ремонта, 10,, студия,,, совмещенный, 2.7 м," подземная, открытая во дворе", кирпичный,, закрытая территория, 24 м²,,,,,, свободная, 1 из 10,,, во двор, возможна ипотека,, балкон,,,,,1000000,3100000
121,,, 19, предчистовая, 3, 14.8 м²,,,,, монолитный, дом 3,, 74.9 м², ооо спецзастройщик «тси»,,, дду по фз 214,,, 7 из 19, 3 кв. 2023 года,,,,, лоджия,,, жк «мечта», изолированные,31,11680000
122, 18.5 м², евро, 10,, 1, 8 м²," кухня, спальные места", совмещенный, 2.7 м, открытая во дворе, панельный,, детская площадка, 35.8 м²,,, 1991,, нет, свободная, 8 из 10,,, во двор, возможна ипотека, 1, балкон,, газ,,,31,5100000
123,, евро, 10,, 1, 14 м²," кухня, хранение одежды, спальные места", совмещенный, 3 м, открытая во дворе, кирпичный,," детская площадка, спортивная площадка", 42 м²,,, 2014,, 1, свободная, 6 из 10,,, во двор,,, балкон, холодильник,,,,31,5500000
124,, косметический, 9,, 1, 5.2 м²," кухня, хранение одежды", совмещенный,, открытая во дворе, кирпичный,, детская площадка, 23 м²,,, 1977,,, свободная, 8 из 9,,," во двор, на солнечную сторону", возможна ипотека, 1, лоджия, холодильник, газ,,,6,3800000
125, 40 м², дизайнерский, 5,, 3, 6 м²," кухня, хранение одежды, спальные места", раздельный,, открытая во дворе, кирпичный,,, 60 м²,,, 1970,, нет, свободная, 1 из 5,,," во двор, на улицу, на солнечную сторону", возможна ипотека, нет,, холодильник, газ,, изолированные,1000000,5700000
126, 16 м², косметический, 10,, 1, 7 м²,, совмещенный, 2.7 м,, кирпичный,,, 30 м²,,, 1977,,, свободная, 9 из 10,,, во двор, возможна ипотека, 1, балкон,,,,,6,4599000
127,, дизайнерский, 17,, 3, 20 м²," кухня, хранение одежды, спальные места", совмещенный,," подземная, наземная многоуровневая, открытая во дворе, за шлагбаумом во дворе", кирпичный,," закрытая территория, детская площадка, спортивная площадка", 80 м²,,,,, 1, свободная, 10 из 17,, есть, на улицу,, 1, балкон," кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",,, смежные,1000000,10399999
128, 23.9 м², евро, 5,, 2, 5.6 м²,, совмещенный,,, кирпичный,,, 40.2 м²,,,,,, свободная, 3 из 5,,," во двор, на улицу", возможна ипотека,, балкон,,,, изолированные,6,5390000
129, 20 м², евро, 18,, студия,,, совмещенный,,, кирпичный,,, 25 м²,,,,,, свободная, 1 из 18,,, во двор,,, лоджия,,,,,1000000,3500000
130, 16.8 м², косметический, 10,, 1, 7.6 м²,, совмещенный,, открытая во дворе, панельный,," детская площадка, спортивная площадка", 32.1 м²,,, 1990,,, свободная, 7 из 10,,," на улицу, на солнечную сторону",, 1, балкон,, газ,,,16,4350000
131,, косметический, 5,, 2, 5 м², кухня, совмещенный,,, панельный,," детская площадка, спортивная площадка", 44.8 м²,,,,,, свободная, 5 из 5,, есть, на улицу, возможна ипотека,, балкон,, газ,, изолированные,11,4500000
132, 19.4 м², косметический, 9,, 1, 13.7 м²," кухня, хранение одежды, спальные места", совмещенный,, открытая во дворе, кирпичный,," детская площадка, спортивная площадка", 41.3 м²,,, 2006,, нет, свободная, 8 из 9,,," во двор, на улицу, на солнечную сторону", возможна ипотека, 1, лоджия," кондиционер, холодильник, стиральная машина", газ,,,11,5950000
